,af-en,am-en,ar-en,az-en,be-en,bg-en,bn-en,bs-en,ca-en,ceb-en,co-en,cs-en,cy-en,da-en,de-en,el-en,en-af,en-am,en-ar,en-az,en-be,en-bg,en-bn,en-bs,en-ca,en-ceb,en-co,en-cs,en-cy,en-da,en-de,en-el,en-eo,en-es,en-et,en-eu,en-fa,en-fi,en-fr,en-fy,en-ga,en-gd,en-gl,en-gu,en-ha,en-haw,en-hi,en-hmn,en-hr,en-ht,en-hu,en-hy,en-id,en-ig,en-is,en-it,en-iw,en-ja,en-jw,en-ka,en-kk,en-km,en-kn,en-ko,en-ku,en-ky,en-lb,en-lo,en-lt,en-lv,en-mg,en-mi,en-mk,en-ml,en-mn,en-mr,en-ms,en-mt,en-my,en-ne,en-nl,en-no,en-ny,en-pa,en-pl,en-ps,en-pt,en-ro,en-ru,en-sd,en-si,en-sk,en-sl,en-sm,en-sn,en-so,en-sq,en-sr,en-st,en-su,en-sv,en-sw,en-ta,en-te,en-tg,en-th,en-tl,en-tr,en-uk,en-ur,en-uz,en-vi,en-xh,en-yi,en-yo,en-zh,en-zu,eo-en,es-en,et-en,eu-en,fa-en,fi-en,fr-en,fy-en,ga-en,gd-en,gl-en,gu-en,ha-en,haw-en,hi-en,hmn-en,hr-en,ht-en,hu-en,hy-en,id-en,ig-en,is-en,it-en,iw-en,ja-en,jw-en,ka-en,kk-en,km-en,kn-en,ko-en,ku-en,ky-en,lb-en,lo-en,lt-en,lv-en,mg-en,mi-en,mk-en,ml-en,mn-en,mr-en,ms-en,mt-en,my-en,ne-en,nl-en,no-en,ny-en,pa-en,pl-en,ps-en,pt-en,ro-en,ru-en,sd-en,si-en,sk-en,sl-en,sm-en,sn-en,so-en,sq-en,sr-en,st-en,su-en,sv-en,sw-en,ta-en,te-en,tg-en,th-en,tl-en,tr-en,uk-en,ur-en,uz-en,vi-en,xh-en,yi-en,yo-en,zh-en,zu-en
en-el,0.649637518,0.620146883,0.625330096,0.633087882,0.626174454,0.641923491,0.643324504,0.640927962,0.647770242,0.660054979,0.651126635,0.636642559,0.654074876,0.666991742,0.643708342,0.638054099,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655765381,0.65315254,0.63462285,0.637287753,0.638148261,0.63636382,0.653067867,0.667096716,0.640886625,0.654564725,0.650904451,0.643306884,0.633222887,0.6519766,0.640321005,0.655213567,0.640722992,0.658278825,0.634173457,0.633052824,0.662629788,0.629279223,0.640440096,0.654122997,0.625762407,0.637283637,0.657231928,0.627189441,0.625582699,0.623881972,0.640643534,0.637809211,0.640036443,0.62599538,0.660024361,0.640564018,0.628805011,0.637685373,0.634687297,0.638517496,0.642224283,0.627905619,0.629421377,0.632425869,0.651183503,0.647894907,0.630256101,0.638541043,0.658225139,0.664128754,0.636935179,0.640608124,0.638191076,0.648223913,0.661035893,0.653210494,0.629759092,0.629134912,0.626925442,0.634486999,0.637293033,0.643078055,0.630682582,0.623612085,0.651579989,0.639682051,0.638836271,0.654901869,0.655572814,0.645367801,0.636262259,0.63518375,0.633446199,0.643746227,0.671215727,0.637422438,0.630353559,0.63322639,0.629459897,0.647345785,0.623976752,0.628569313,0.658550037,0.641782756,0.629236234
en-eo,0.649631918,0.6201497,0.625327458,0.633085475,0.626175385,0.641913428,0.643330785,0.640933588,0.647764239,0.660048931,0.65113092,0.636642426,0.65407706,0.666995942,0.643702879,0.638052213,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,0.655769338,0.653154417,0.634627012,0.637294013,0.638150942,0.636352401,0.653064775,0.667084001,0.640888297,0.654562451,0.650910788,0.643316232,0.633217807,0.651971268,0.640319678,0.655215853,0.640727265,0.658279601,0.634175571,0.633057949,0.662631497,0.629267818,0.640444472,0.654119137,0.625762535,0.637278028,0.65722293,0.627186747,0.625585015,0.623874242,0.640642087,0.637814861,0.640025305,0.625976647,0.660014818,0.640555973,0.628798173,0.637677722,0.634674588,0.638523105,0.64222404,0.627902081,0.629421335,0.632426966,0.65117877,0.647901284,0.630259709,0.638548727,0.658214685,0.664116429,0.636932064,0.640603518,0.638185164,0.648223418,0.66104481,0.653215526,0.629771556,0.629142017,0.626936155,0.6344938,0.637292233,0.643669275,0.630677934,0.623607763,0.651579241,0.639677762,0.6388394,0.654900609,0.655575776,0.645369717,0.636273163,0.635177415,0.633431537,0.643741116,0.670626093,0.637424502,0.630347179,0.633233207,0.629460065,0.647349444,0.623973169,0.628557664,0.658543175,0.641787898,0.629234334
en-es,0.649634866,0.620152299,0.625327127,0.63307616,0.626175227,0.641918902,0.643325754,0.640931154,0.64776259,0.660050419,0.651132049,0.63664102,0.654079829,0.666992154,0.643702748,0.638047851,1,1,1,1,1,0.999999999,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,0.655768619,0.653154089,0.634633358,0.637293076,0.638144358,0.636363553,0.65306743,0.667088258,0.640884198,0.654566316,0.650911725,0.6433234,0.633220698,0.651974063,0.640322659,0.655210158,0.640725569,0.658274675,0.634176241,0.633060056,0.662631496,0.629268056,0.640444408,0.654120309,0.625763652,0.637282078,0.657226178,0.627185494,0.625588767,0.623878609,0.640640382,0.63780399,0.64002369,0.625995947,0.660024756,0.640562307,0.628798929,0.63768273,0.634678122,0.638524118,0.64222434,0.62789463,0.629419239,0.632427952,0.651182865,0.64789713,0.630261653,0.638546387,0.65821781,0.664121873,0.636933785,0.640597712,0.638182765,0.648220696,0.661050356,0.65321692,0.629764738,0.629137653,0.626928077,0.634495185,0.637297036,0.64367197,0.63067871,0.623605193,0.651573318,0.63968626,0.638835695,0.65490244,0.655575798,0.645369724,0.636264789,0.635178285,0.633445156,0.643743878,0.671224916,0.637425701,0.630351428,0.633225937,0.62945629,0.647345821,0.623973874,0.628572588,0.658546555,0.64177904,0.629237122
en-et,0.649626075,0.620153416,0.625326086,0.633083478,0.626179451,0.64191143,0.643323726,0.640928148,0.647765677,0.660055591,0.651127219,0.636633311,0.654076634,0.666989292,0.64371011,0.638057768,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,0.999999999,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,0.999999999,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655762746,0.653148387,0.634624516,0.637296845,0.638150989,0.636361973,0.653069981,0.667092134,0.640882435,0.654551868,0.650909959,0.643317258,0.633224417,0.65197279,0.640313446,0.65521091,0.640721511,0.658285819,0.634168847,0.633064947,0.662626665,0.629280432,0.640451393,0.654118945,0.62576019,0.637284154,0.657224389,0.62718887,0.625590074,0.623888899,0.640647491,0.637805637,0.640036491,0.62598151,0.660025189,0.640562202,0.628802351,0.637118923,0.634685995,0.638525136,0.642219822,0.627898641,0.629427704,0.632422781,0.651185859,0.647896519,0.630262247,0.63854036,0.658227652,0.664122717,0.636939482,0.64061477,0.638181603,0.648230523,0.661043811,0.653208668,0.629760488,0.62913725,0.626928743,0.634497588,0.637293673,0.643673094,0.630671244,0.62360762,0.651577695,0.639684504,0.638834575,0.654900675,0.655580588,0.645366027,0.636273217,0.63518248,0.633440499,0.64374577,0.67122028,0.637417186,0.630350297,0.633232085,0.629459626,0.647345681,0.623982156,0.628568963,0.658547198,0.641785943,0.629232069
en-eu,0.649633094,0.620156601,0.625331576,0.633090911,0.626174512,0.641918797,0.643328675,0.640937666,0.647764386,0.660047424,0.651126716,0.636648274,0.654075409,0.666993528,0.643708507,0.638057371,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655767265,0.65315871,0.634617935,0.637299442,0.638148477,0.636354128,0.653067341,0.667091927,0.640885349,0.654555611,0.650914974,0.643323538,0.63322536,0.65197173,0.640311846,0.655209115,0.640730383,0.658284769,0.634180551,0.633058796,0.662633564,0.62927784,0.64045097,0.654116359,0.62576341,0.637280507,0.657235361,0.627190963,0.625586929,0.623877086,0.640645046,0.637808765,0.64003633,0.625982187,0.660024447,0.640555384,0.628800051,0.637682467,0.634680964,0.638523975,0.642221456,0.627899098,0.629421508,0.632427678,0.651190649,0.647899716,0.630254978,0.638538551,0.658213323,0.664117546,0.636937879,0.640604561,0.638187113,0.648224709,0.661047377,0.653216788,0.629762034,0.629129671,0.626933459,0.634508649,0.637296,0.6430824,0.630682221,0.623606358,0.651582656,0.639689979,0.638839053,0.65490286,0.655579733,0.645369562,0.636270568,0.6351789,0.633430524,0.643742929,0.670624131,0.63742503,0.630345246,0.633231423,0.629460625,0.647344654,0.623977409,0.628570494,0.658545926,0.641790557,0.629231926
en-fa,0.649637076,0.620151582,0.625331636,0.633088873,0.626180381,0.641916045,0.643323103,0.640936617,0.647773262,0.660049849,0.651122854,0.636634734,0.654072016,0.666996798,0.643704851,0.638050047,1,0.999999999,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,0.65576747,0.653151254,0.634621415,0.637295498,0.638151365,0.636367063,0.653069358,0.667091005,0.640890016,0.654559277,0.650905477,0.643311655,0.63322184,0.65197129,0.640317423,0.655208499,0.640734567,0.658285595,0.634179923,0.633053009,0.662636797,0.629282876,0.640453595,0.654124083,0.62576651,0.637284633,0.657226976,0.627191708,0.625582569,0.623882863,0.640641616,0.637804624,0.64002899,0.625987022,0.660026226,0.640558099,0.628805481,0.637678713,0.634683687,0.638529925,0.642224908,0.627902653,0.629413121,0.632419453,0.651184349,0.647900864,0.630255022,0.638543465,0.658224925,0.664125169,0.636931965,0.640602285,0.638186895,0.648227504,0.661036517,0.653211077,0.629754798,0.629136064,0.626925627,0.634486611,0.637297382,0.643087118,0.630681646,0.623601915,0.651578185,0.639680507,0.638838959,0.654904931,0.655576153,0.645371173,0.636270532,0.635186805,0.633441934,0.643746787,0.671221596,0.637430451,0.630345949,0.633229813,0.629456571,0.647345785,0.623972035,0.628569785,0.658543382,0.641786951,0.629227703
en-fi,0.649626056,0.620154163,0.625323702,0.633077566,0.62617491,0.641918651,0.643327057,0.640929761,0.647763711,0.660057292,0.65113185,0.636633609,0.654073962,0.666991783,0.643709296,0.63805786,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655765272,0.653150725,0.634625202,0.637291821,0.638151955,0.636366023,0.653068799,0.66708992,0.640883452,0.654552867,0.650908182,0.643318581,0.63322641,0.651974012,0.640306521,0.655211551,0.640723698,0.658283787,0.634170732,0.633063971,0.662632309,0.62927819,0.640441254,0.654123989,0.625765284,0.637284013,0.657223015,0.627181023,0.625588615,0.623883487,0.640650783,0.637810657,0.64003571,0.625983601,0.66001839,0.640564754,0.628802202,0.637115725,0.634685785,0.638528987,0.642223077,0.627894424,0.629421273,0.63242334,0.651181599,0.647898742,0.630262663,0.638542216,0.658226465,0.664125013,0.636934843,0.640604732,0.638186169,0.648224759,0.661040657,0.653206905,0.629763599,0.629133411,0.62693053,0.634502218,0.637295129,0.64366749,0.630670978,0.623606756,0.651578636,0.639685616,0.638830575,0.654897749,0.65557553,0.645369786,0.636265737,0.635182862,0.633435316,0.643742905,0.671217949,0.637416377,0.630353008,0.633227652,0.629462836,0.647346105,0.623978129,0.628567334,0.65854332,0.641783193,0.629233391
en-fr,0.649633633,0.620148971,0.625325144,0.633081877,0.626174424,0.641909184,0.643324747,0.64093462,0.647771244,0.660048422,0.651125216,0.637206286,0.654075979,0.666993735,0.643704683,0.638053954,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,0.999999999,1,1,1,1,1,1,1,1,1,0.655765613,0.653154178,0.63462308,0.637290197,0.638142725,0.636359515,0.653072658,0.667088658,0.640879753,0.654553794,0.650909843,0.643321319,0.633218342,0.651971134,0.640331814,0.655211169,0.640729894,0.658275836,0.634175051,0.633054276,0.662626954,0.629270371,0.640445829,0.654117869,0.625760765,0.637287511,0.657219362,0.627191768,0.625581439,0.623875619,0.640638734,0.637802588,0.640028167,0.625993794,0.660026161,0.640553745,0.628799087,0.637687459,0.634683513,0.638526477,0.642218506,0.62789149,0.62942004,0.632428987,0.65118319,0.64789326,0.630262516,0.638538335,0.65821804,0.6641229,0.636936476,0.640607415,0.638182476,0.648225309,0.661048642,0.653214443,0.629756122,0.62913873,0.626934683,0.634494004,0.637298472,0.643670663,0.630675814,0.623608326,0.651573826,0.639684365,0.63883356,0.654898944,0.655579185,0.645367984,0.636264818,0.635180724,0.633437049,0.643744982,0.671216116,0.637424374,0.630346815,0.633226269,0.629463253,0.647341323,0.623972043,0.628570052,0.658545899,0.641776833,0.629229459
en-fy,0.649627496,0.620150274,0.625330134,0.633093454,0.626170322,0.64191256,0.643334378,0.640935782,0.647774268,0.66004873,0.651129402,0.636639986,0.654081187,0.666998504,0.643703508,0.638061915,1,1,0.999999999,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655764778,0.653156055,0.634622257,0.637297669,0.638154797,0.636358975,0.653063666,0.667088718,0.640889761,0.654564356,0.650917513,0.643314954,0.633230895,0.651976696,0.640319801,0.655212773,0.640732138,0.658287748,0.634171459,0.633064283,0.66263541,0.629278734,0.640444762,0.654122091,0.625762843,0.637286459,0.65722282,0.627190954,0.625588214,0.623884357,0.640646178,0.63781578,0.640030666,0.625982694,0.660020965,0.640569031,0.628805616,0.637681907,0.634685029,0.638530065,0.642221717,0.627898122,0.629425037,0.632425927,0.651186371,0.647899007,0.630255057,0.638541493,0.658215426,0.664119621,0.636941923,0.640621497,0.638191993,0.648227015,0.661053411,0.653218548,0.62976072,0.629143358,0.626935063,0.634486452,0.637297408,0.643675552,0.630672296,0.623606183,0.651584275,0.63968586,0.638838003,0.654904371,0.655575732,0.645364942,0.636276675,0.635181259,0.633429731,0.643746885,0.671215925,0.637425074,0.630346196,0.633227372,0.629461508,0.647352239,0.623975079,0.628560277,0.658549241,0.641786328,0.629236161
en-ga,0.64963456,0.620147145,0.625331592,0.633087916,0.62617584,0.641915331,0.64332412,0.640932664,0.647767845,0.660040622,0.651129474,0.636634425,0.654079419,0.666992372,0.643707631,0.638054172,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,0.655769664,0.65315612,0.634622812,0.637303571,0.638148172,0.636361878,0.653068781,0.667087677,0.640886046,0.654559763,0.650912499,0.643319258,0.633225656,0.6519743,0.640313098,0.655215589,0.640727164,0.658284368,0.634165256,0.633056223,0.66262733,0.629275645,0.640448857,0.654122644,0.625760295,0.637291204,0.657230708,0.627185351,0.625582526,0.623880799,0.640645478,0.637803543,0.640037481,0.625987379,0.660024742,0.64055389,0.628807625,0.637114473,0.634677925,0.638525503,0.642221792,0.627902044,0.629421263,0.632422623,0.651186574,0.647893354,0.630249295,0.63854223,0.658209805,0.664119341,0.636931461,0.640602269,0.638185735,0.648220376,0.661040243,0.653212359,0.629762177,0.629136058,0.626931194,0.634494709,0.63729254,0.643669174,0.630673239,0.623612913,0.651574999,0.63968629,0.638834877,0.654899405,0.655572572,0.645374767,0.636272773,0.635183323,0.633441101,0.643742264,0.670614518,0.637419494,0.630352285,0.633227783,0.62945227,0.647345755,0.623984273,0.628564797,0.658543924,0.641785088,0.629235692
en-gd,0.649633924,0.620152218,0.625329807,0.633086298,0.626166763,0.641914412,0.643328885,0.640940918,0.647761319,0.6600498,0.65112748,0.636632611,0.654076042,0.666994143,0.643707773,0.638051752,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655765059,0.653156066,0.634623173,0.637296648,0.638144255,0.636356738,0.653072272,0.667085308,0.640884033,0.654555834,0.650909788,0.643317825,0.633223594,0.651965641,0.640312637,0.655215802,0.640731813,0.658284067,0.63417114,0.633056018,0.66263174,0.629270033,0.640445634,0.654118649,0.625762372,0.637288549,0.657228626,0.627182901,0.625588164,0.62387767,0.640639597,0.637809991,0.640031907,0.625983784,0.660020659,0.64056035,0.628806455,0.637681188,0.634677231,0.6385236,0.642221089,0.627896937,0.629424634,0.632424509,0.651183337,0.647893698,0.63026032,0.638540785,0.658216635,0.664119704,0.636934596,0.64060099,0.638192962,0.648228336,0.66103859,0.653207295,0.629758606,0.629143335,0.626936739,0.634494684,0.637294538,0.643075677,0.630673107,0.623608309,0.651576732,0.639677354,0.638834806,0.654897815,0.65557627,0.645372923,0.636260846,0.635178592,0.633438529,0.643744439,0.671211359,0.637412499,0.630343784,0.633224455,0.629456837,0.647347095,0.623980663,0.628558562,0.658537383,0.641784592,0.629236769
en-gl,0.649637707,0.620154986,0.625331902,0.633086178,0.626173406,0.641916838,0.643328571,0.640935187,0.647766061,0.660046491,0.651131566,0.63663812,0.65407317,0.666988308,0.643707416,0.638052455,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,0.999999999,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655767615,0.653156704,0.634623904,0.637292269,0.638146259,0.63635832,0.653066897,0.667085583,0.640882316,0.654562829,0.650913362,0.643321254,0.633218955,0.651977052,0.640327084,0.655220088,0.640728958,0.658280909,0.63417455,0.633055945,0.662626332,0.629272285,0.640444727,0.654116704,0.625763202,0.63727877,0.657222862,0.627188945,0.625590708,0.623872959,0.640644596,0.637803133,0.640026724,0.625990441,0.660025707,0.640553995,0.628799494,0.637680594,0.634680542,0.638524016,0.642226027,0.627892754,0.629418543,0.63242904,0.651179914,0.647903277,0.630256841,0.638539711,0.658214141,0.664120081,0.636936813,0.640611567,0.638183071,0.648218775,0.661048124,0.653218527,0.629758736,0.629136174,0.626922303,0.634491813,0.637300379,0.643668174,0.630677665,0.623605301,0.651573954,0.639688908,0.638835185,0.654895887,0.655577954,0.645369258,0.636267337,0.635178833,0.633438434,0.643745535,0.670621793,0.637428528,0.630346478,0.633229835,0.629462231,0.647346155,0.62397458,0.628572149,0.658543304,0.641784259,0.629238715
en-gu,0.649638406,0.620153424,0.625342245,0.63308979,0.626173476,0.641920703,0.643322395,0.640936575,0.647773851,0.660044399,0.651121494,0.636642953,0.654074303,0.666992279,0.643705848,0.638055777,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655760416,0.653157482,0.634613653,0.637291577,0.638142671,0.636357554,0.653069856,0.66708848,0.640880927,0.654556118,0.650914886,0.643307428,0.633217954,0.651970355,0.640314572,0.655215992,0.640733705,0.658286468,0.634180848,0.633058491,0.662624757,0.629275782,0.640449715,0.654125322,0.625767475,0.637289742,0.657225786,0.627192223,0.625587083,0.623878679,0.640645539,0.637803545,0.64003078,0.625988373,0.660023864,0.640557305,0.628802591,0.637115762,0.634679032,0.638521612,0.64222417,0.627908128,0.629425107,0.632422289,0.651182794,0.647897467,0.630261345,0.638538126,0.658222766,0.664123426,0.636930736,0.640614098,0.63819043,0.648220635,0.66104176,0.653211524,0.629756809,0.629129519,0.626934998,0.634496669,0.637296308,0.64367131,0.630680764,0.623613006,0.651581012,0.639684342,0.638830467,0.654904135,0.655579188,0.645355995,0.636270651,0.635182651,0.633433073,0.64373968,0.671207492,0.637420773,0.630344104,0.633233931,0.629462278,0.647350081,0.623979978,0.628564607,0.658540074,0.641794149,0.629235912
en-ha,0.649637198,0.62015684,0.625333636,0.633090208,0.626178955,0.64190796,0.643336604,0.640941421,0.647765618,0.660056847,0.651127082,0.636644793,0.654073732,0.666998365,0.643706812,0.638053611,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,0.655771277,0.65316044,0.634626065,0.63729711,0.638146428,0.63636181,0.653068736,0.667088601,0.640887634,0.654565146,0.650912837,0.643325205,0.63322417,0.651982943,0.640330133,0.655220887,0.640735604,0.658290168,0.634179347,0.633067373,0.662634297,0.629280584,0.640456403,0.65412336,0.625761745,0.637286624,0.657235227,0.627192181,0.625588389,0.623878809,0.640651785,0.63780815,0.640034851,0.625987684,0.660021873,0.640571933,0.628809703,0.637106685,0.634686616,0.638530758,0.642228052,0.62791162,0.629424514,0.632422549,0.651188248,0.64790322,0.630258193,0.638535977,0.658222041,0.66411738,0.636934201,0.640612695,0.63819145,0.648235235,0.661049038,0.653214962,0.629761257,0.629141735,0.62694312,0.634497304,0.637295923,0.643680017,0.630682706,0.623599655,0.651584504,0.639680208,0.638838116,0.654909394,0.655580258,0.645371415,0.636270592,0.635186838,0.633437113,0.6437428,0.671227167,0.637425395,0.63034855,0.633233882,0.629467505,0.647353522,0.623982301,0.628565474,0.658546364,0.641790662,0.629238228
en-haw,0.649636786,0.620154881,0.625337771,0.633094914,0.626176579,0.641907965,0.643338423,0.640935021,0.647767613,0.660047029,0.651127791,0.636633094,0.654076154,0.666996573,0.643709419,0.638055827,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.999999999,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.655766256,0.653159942,0.634628163,0.637302738,0.638149738,0.636357052,0.653076063,0.667087777,0.640889026,0.654561954,0.650913303,0.643310929,0.633228467,0.651978003,0.640322595,0.655221993,0.640730874,0.658291216,0.63418017,0.633061405,0.662627757,0.629278169,0.640455126,0.654124718,0.625761701,0.637289352,0.657229441,0.627196772,0.625586256,0.623882369,0.640644781,0.637810789,0.640027346,0.625984125,0.660020956,0.64056463,0.62880684,0.637681337,0.634683478,0.638521659,0.642222614,0.627909341,0.62942938,0.632431525,0.651183493,0.647895375,0.63025726,0.63854496,0.658223126,0.66412304,0.636935279,0.640614949,0.6381971,0.648225584,0.661047966,0.653209361,0.62976148,0.62914349,0.626932722,0.634490872,0.637291213,0.64367218,0.630669804,0.623614215,0.65158147,0.639683173,0.638830285,0.654911553,0.655584564,0.645365444,0.636271752,0.635187337,0.633440657,0.64375048,0.671214694,0.637422492,0.630349758,0.633227707,0.629465196,0.647346493,0.623988457,0.628562104,0.65854487,0.641793925,0.629234669
